V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,hom2004
2,0,4,0,0,0,0,0,10,0,61,0,0,3,2,4,0,1
1,0,6,0,0,1,0,0,4,0,49,2,0,1,1,9,0,5
5,0,4,0,0,0,1,0,3,0,51,0,0,2,1,7,0,1
1,1,2,0,0,0,2,0,9,0,70,0,0,0,0,2,0,10
10,0,2,0,0,0,0,0,10,0,66,0,0,1,1,6,0,9
9,2,4,0,0,0,1,0,12,0,61,1,0,3,1,9,0,6
6,2,1,0,0,0,0,0,8,0,76,3,0,4,1,14,0,5
5,1,3,0,0,0,0,0,7,0,72,0,0,3,1,9,0,9
9,2,0,0,0,0,0,0,10,0,63,4,0,0,3,7,0,7
7,0,4,0,0,0,0,0,1,0,74,0,0,1,3,16,0,6
6,1,3,0,0,1,0,0,2,0,77,1,0,1,2,7,0,6
6,1,3,0,0,0,0,0,0,0,60,2,0,2,2,12,0,3
3,3,2,0,0,0,0,0,1,0,70,1,0,1,1,11,0,4
4,2,12,0,0,0,0,0,6,0,62,0,0,3,0,6,0,15
15,0,8,0,0,0,2,0,1,0,68,3,0,3,2,7,0,2
2,1,20,0,0,0,0,0,4,0,71,1,0,3,0,11,0,5
5,0,9,0,0,0,0,0,0,0,45,1,0,1,0,6,0,8
8,0,20,0,0,0,0,0,2,0,57,0,0,3,2,6,0,8
8,0,5,0,0,0,0,0,7,0,53,0,0,2,1,14,0,3
3,0,12,0,0,0,0,0,5,0,52,1,0,1,1,10,0,10
10,1,11,0,0,0,0,0,3,0,44,2,0,1,1,7,0,3
3,0,11,0,0,0,0,0,3,0,32,2,0,0,3,5,0,8
8,0,16,0,0,1,0,0,3,0,32,1,0,2,0,6,0,7
7,0,15,0,0,0,0,0,1,0,43,0,0,0,0,6,0,10
10,0,18,0,0,0,0,0,9,0,63,2,0,1,0,5,0,15
15,1,5,0,0,0,0,0,6,0,102,3,0,0,0,5,0,16
16,1,3,0,0,0,0,0,6,0,74,0,0,0,2,8,0,15
15,3,0,0,0,0,0,0,2,0,101,1,0,0,2,6,0,13
13,0,3,0,0,0,2,0,3,0,98,0,0,2,3,10,0,20
20,2,12,0,0,2,1,0,0,0,76,0,0,0,2,9,0,5
5,1,6,0,0,0,0,0,4,0,90,1,0,3,1,11,0,8
8,3,6,0,0,0,0,0,3,0,90,0,0,0,0,5,0,5
5,3,1,0,0,1,0,0,3,0,118,0,0,2,1,8,0,16
16,2,10,0,0,1,1,0,2,0,71,3,0,0,5,7,0,10
10,2,4,0,0,1,0,0,2,0,86,1,0,2,6,20,0,5
5,0,4,0,0,0,0,0,2,0,79,1,0,2,1,4,0,14
14,1,4,0,0,1,0,0,2,0,146,1,0,1,1,4,0,9
9,1,3,0,0,0,0,0,3,0,141,2,0,0,2,4,0,10
10,1,3,0,0,0,0,0,1,0,80,1,0,0,1,4,0,7
7,1,5,0,0,0,0,0,8,0,75,0,0,2,5,9,0,12
12,0,13,0,0,0,0,0,4,0,66,1,0,2,2,3,0,11
11,0,16,0,0,0,0,0,7,0,68,1,0,1,3,9,0,10
10,0,9,0,0,0,1,0,0,0,69,1,0,4,3,20,2,8
8,0,7,0,0,1,0,0,5,0,90,0,0,2,4,5,2,14
14,2,8,0,0,0,0,0,5,0,83,0,0,5,1,6,2,15
15,1,14,0,0,0,0,0,5,0,137,0,1,1,0,6,0,11
11,0,4,0,0,1,0,0,4,0,104,1,0,3,0,12,1,9
9,0,6,0,0,0,0,0,2,0,81,0,0,2,1,4,2,15
15,1,6,0,0,0,0,0,4,0,66,0,1,0,2,4,1,36
36,0,3,0,0,0,0,0,4,0,57,0,0,0,1,5,0,41
41,0,2,0,0,0,0,0,1,0,62,0,0,0,0,7,1,18
18,0,3,0,0,0,0,0,3,0,54,2,0,2,1,7,0,34
34,0,0,0,0,0,0,0,1,0,94,0,0,0,0,1,1,36
36,0,6,0,0,0,0,1,3,0,69,1,0,3,2,2,1,29
