V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,hom2004
6,2,0,67,18,0,0,0,11,0,28,8,2,0,0,12,19,1,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,5
5,2,4,103,20,2,0,1,9,3,23,3,4,0,0,9,19,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,8
8,1,7,120,10,1,0,1,12,2,36,2,5,0,0,14,20,0,0,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,5
5,1,8,130,13,3,2,2,3,3,12,3,2,0,0,7,34,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,4
4,2,8,162,9,6,0,4,7,1,24,5,4,1,0,4,31,1,0,2,4,1,0,0,0,0,0,0,0,0,0,0,1,1,2
2,3,12,109,14,5,0,0,9,4,28,7,0,4,0,7,44,1,0,0,4,0,0,0,0,1,0,2,0,0,0,0,0,0,8
8,2,7,80,8,3,0,2,1,3,39,2,5,3,0,8,34,0,1,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0,6
6,2,4,106,18,4,0,1,7,16,28,4,0,1,1,6,24,1,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,10
10,4,12,105,18,1,0,1,5,30,45,4,2,1,0,9,23,0,0,2,8,0,0,0,0,0,0,1,0,0,0,0,0,0,12
12,2,6,98,10,2,1,0,9,7,40,8,3,0,0,10,22,0,0,0,9,0,0,0,1,0,0,4,0,0,0,0,0,0,5
5,0,32,72,17,2,0,0,11,9,42,8,0,2,1,10,28,0,0,2,4,0,0,0,0,0,2,2,0,0,0,0,0,0,7
7,0,2,87,27,1,1,0,8,22,28,4,0,0,0,7,23,1,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,8
8,1,0,74,8,1,0,2,8,0,28,4,0,0,2,7,22,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,1,13
13,0,5,34,0,0,1,0,23,2,16,2,0,3,0,12,24,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,6
6,5,12,53,2,2,0,0,9,3,24,2,0,1,1,11,17,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,6
6,0,3,45,4,4,1,2,5,32,26,1,0,1,0,4,10,2,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,1,4
4,2,5,94,5,2,0,0,17,1,38,2,0,1,0,8,22,1,0,0,8,0,1,0,0,3,0,1,0,0,0,0,0,0,6
6,3,8,140,4,2,0,2,19,2,22,4,0,1,3,7,14,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5
5,2,6,112,5,5,1,1,13,0,9,2,0,1,3,14,10,2,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7
7,2,4,46,4,4,1,1,11,1,16,3,0,0,0,12,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9
9,2,5,111,9,3,0,1,25,2,27,0,0,0,2,19,19,1,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,9
9,1,3,140,9,3,1,1,18,3,18,4,0,1,1,14,22,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,11
11,2,5,118,7,5,3,2,19,0,22,1,0,1,1,13,25,0,0,0,7,0,0,0,0,1,0,3,0,0,0,1,0,1,5
5,0,8,99,4,1,1,1,9,0,25,0,0,0,0,16,24,0,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0,1,10
10,0,4,95,12,2,0,1,11,1,20,0,0,2,1,10,12,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,10
10,4,3,95,3,4,0,0,11,2,14,0,0,0,0,20,17,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,12
12,1,5,103,12,1,1,1,11,2,25,0,0,2,1,17,14,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,12
12,1,6,112,10,6,0,0,13,3,21,2,0,0,0,16,24,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,10
10,2,12,113,11,3,0,2,12,0,18,0,0,1,1,15,19,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,12
12,4,3,122,6,2,0,1,6,0,20,1,0,1,1,16,20,3,0,2,15,1,0,0,0,0,0,0,0,0,0,0,0,0,8
8,2,10,53,7,3,1,1,12,0,19,2,0,1,1,10,24,0,0,0,5,0,0,0,0,0,0,2,1,0,0,0,1,0,11
11,4,21,27,3,2,0,1,12,2,8,2,0,1,1,11,14,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,7
7,5,4,5,0,1,1,2,15,1,22,1,0,1,0,15,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16
16,1,6,1,0,0,2,1,17,1,18,3,0,0,0,13,7,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,11
11,1,16,2,1,2,2,2,21,3,35,1,0,0,0,13,21,3,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5
5,5,1,3,0,1,0,0,20,4,25,3,0,1,0,10,17,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,16
16,1,11,2,2,0,1,0,22,1,39,1,0,0,0,16,9,2,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7
7,1,4,4,1,1,2,1,24,1,23,2,0,0,0,15,13,3,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,8
8,4,4,3,1,1,0,1,11,1,25,2,0,1,0,21,14,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,5
5,1,2,19,2,2,0,1,17,0,20,0,0,1,0,19,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,8
8,3,3,10,0,2,2,0,13,2,36,2,0,3,1,14,11,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,14
14,3,2,7,2,5,5,3,10,0,37,0,0,1,1,19,11,1,1,0,1,1,2,0,1,1,0,0,0,0,0,0,0,2,21
21,6,0,11,2,3,1,0,18,1,14,0,0,1,2,28,9,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,15
