V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,hom2004
0,4,0,93,41,0,3,1,5,0,16,0,0,0,0,9,0,0,3,0,212,51,1,5,1,18,0,134,0,2,2,4,16,0,2,1,0,23,2,0,1,0,1,0,9,0,0,0,0,0,0,32,7,5,418,231,4,16,7,24,0,86,0,0,8,6,13,0,2,1,0,26,10,1,0,0,2,0,1,0,0,0,0,0,0,2
2,2,0,90,30,0,2,1,3,0,17,3,1,2,6,10,18,2,1,0,237,47,6,4,5,26,0,209,4,8,4,0,47,15,3,0,0,19,2,0,0,0,5,0,8,2,1,0,0,0,3,42,6,6,345,169,6,17,9,22,0,131,0,17,5,1,23,42,3,0,0,15,5,0,0,1,1,0,1,0,0,0,1,2,4,0
0,0,0,94,38,0,4,3,5,0,22,2,1,10,4,6,15,1,2,0,272,55,2,5,13,10,0,185,1,13,10,1,39,17,5,0,0,38,6,1,0,0,2,0,12,1,1,0,0,0,5,38,5,4,416,218,4,24,13,29,0,138,0,13,6,4,21,74,3,1,0,17,6,0,0,2,1,0,6,1,0,0,0,1,3,4
4,1,0,77,29,0,2,3,8,0,36,6,1,3,1,7,21,4,3,0,295,49,0,11,11,14,0,178,2,5,9,5,28,30,3,0,0,18,6,0,1,2,1,0,31,1,0,0,0,0,5,46,7,3,436,193,5,19,5,31,0,136,0,13,8,0,16,88,0,2,0,15,10,0,0,0,0,0,1,0,1,1,1,0,6,1
1,0,0,63,11,0,0,3,5,0,19,7,2,1,0,1,17,1,1,0,318,61,0,13,8,13,0,166,6,6,5,5,9,22,3,1,0,34,5,0,0,3,6,0,13,1,1,1,0,0,1,38,3,4,471,184,7,22,6,33,0,145,0,16,14,4,22,85,2,0,0,30,12,1,1,0,3,0,8,7,0,1,0,0,5,0
0,0,0,70,24,2,3,6,7,0,12,4,2,4,2,2,11,4,3,0,331,69,2,15,7,10,0,59,5,13,7,3,17,38,5,0,0,26,2,1,1,1,1,0,5,0,0,0,0,0,3,53,8,1,452,198,5,25,15,24,0,129,0,11,13,6,24,62,2,0,0,39,4,0,1,0,4,0,2,0,1,0,1,3,4,2
2,2,0,74,16,0,3,3,1,0,15,0,1,4,1,3,14,3,1,1,320,48,3,14,4,22,0,149,6,13,7,2,25,52,4,1,0,37,1,3,0,0,1,0,10,1,2,1,0,0,6,37,8,7,469,138,2,14,12,23,0,154,0,15,20,9,20,78,2,1,0,28,4,0,1,1,2,0,2,1,0,2,0,1,7,3
3,1,0,68,17,1,3,6,4,0,6,2,5,3,1,10,16,7,5,0,305,40,1,11,11,14,0,147,3,14,6,5,13,20,3,0,0,33,6,0,1,1,2,0,6,1,1,1,0,0,2,41,11,8,362,127,3,23,8,20,0,128,0,8,9,3,11,61,4,0,0,46,8,0,0,2,3,0,17,0,1,1,0,0,6,3
3,1,0,98,14,1,2,6,11,0,25,0,1,6,2,3,21,4,1,0,294,51,3,9,3,20,0,166,1,15,6,5,33,24,1,0,0,24,10,0,1,0,0,0,10,2,2,2,0,0,5,32,12,8,412,98,3,21,9,14,0,123,0,20,7,1,12,84,5,0,0,39,5,0,0,0,3,0,8,0,1,1,0,0,4,7
7,0,0,80,26,2,4,2,3,0,13,4,5,6,0,5,14,7,7,0,301,52,2,9,1,10,0,205,2,16,5,4,18,21,5,0,0,27,1,1,1,0,1,0,10,1,1,0,0,0,6,48,8,7,312,94,8,16,13,18,0,119,0,15,7,5,16,55,11,1,0,28,8,0,0,2,5,0,4,2,0,2,2,1,4,3
