V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,hom2004
0,0,0,0,0,0,0,0,4,29,21,0,2,1,0,40,12,1,0,0,0,0,0,0,0,5,25,27,0,10,0,2,45,20,0,1,0,0,0,0,0,0,1,1,3,0,0,0,0,7,4,2,0,0,0,0,0,0,0,4,11,21,0,4,2,0,33,3,3
3,1,0,0,0,0,0,0,1,19,12,0,4,0,2,26,9,2,0,0,0,0,0,0,0,4,16,25,0,3,0,0,44,7,0,0,0,0,0,0,0,0,1,5,6,0,0,0,0,7,1,5,1,0,0,0,0,0,0,2,15,23,0,2,1,0,25,6,0
0,0,0,0,0,0,0,0,9,21,10,0,6,0,1,29,10,2,0,0,0,0,0,0,0,0,16,26,0,6,0,0,41,21,1,0,0,0,0,0,0,0,1,2,1,0,2,0,0,7,2,1,0,0,0,0,0,0,0,1,16,17,0,4,3,0,19,3,0
0,1,0,0,0,0,0,0,6,23,14,0,9,1,0,29,11,1,1,0,0,0,0,0,0,4,24,17,0,5,1,0,42,16,0,1,0,0,0,0,0,0,2,6,5,0,2,0,0,6,3,5,0,0,0,0,0,0,0,3,20,20,0,5,0,0,28,10,2
2,0,0,0,0,0,0,0,4,18,22,0,4,2,1,28,12,0,0,0,0,0,0,0,0,0,16,12,0,3,0,1,46,19,0,0,0,0,0,0,0,0,1,2,1,0,2,0,0,4,1,0,0,0,0,0,0,0,0,0,23,15,0,9,2,0,24,15,4
4,0,0,0,0,0,0,0,4,17,19,0,9,3,0,38,5,0,1,0,0,0,0,1,0,1,29,18,0,7,0,0,51,14,0,0,0,0,0,0,0,0,1,6,2,0,1,0,0,9,0,4,2,0,0,0,0,0,0,1,22,18,0,8,2,1,24,5,1
1,1,0,0,0,0,1,2,5,18,6,0,3,1,0,33,16,2,1,0,0,0,0,0,0,4,13,13,0,3,0,0,40,2,0,1,0,0,0,0,0,0,2,5,0,0,2,0,0,7,5,4,0,0,0,0,0,0,0,4,19,8,0,2,0,0,35,7,1
1,2,0,0,0,0,0,0,3,15,2,0,7,4,1,37,5,0,0,0,0,0,0,1,0,2,21,3,0,5,0,0,51,6,0,1,0,0,0,0,0,0,1,0,1,0,3,0,0,4,0,1,1,0,0,0,0,0,0,1,13,6,0,4,0,2,38,4,1
1,1,0,0,0,0,0,0,1,26,8,0,8,2,1,35,5,3,1,0,0,0,0,1,0,4,38,10,0,8,0,2,61,8,0,1,0,0,0,0,0,0,0,3,0,0,5,1,0,2,2,2,1,0,0,0,0,0,0,2,18,10,0,5,0,3,38,4,1
1,0,0,0,0,0,0,0,8,24,7,0,7,1,1,30,4,1,0,0,0,0,0,0,0,5,32,10,0,6,2,0,52,5,1,1,0,0,0,0,0,0,2,5,4,0,0,1,0,2,1,2,0,0,0,0,0,0,0,2,18,8,0,6,1,2,46,5,2
2,0,0,0,0,0,2,0,2,23,9,0,4,1,1,29,14,2,1,0,0,0,0,0,0,3,42,23,0,3,1,0,50,12,0,1,0,0,0,0,0,0,2,8,3,0,2,0,1,2,2,2,2,0,0,0,0,0,0,3,22,14,0,6,2,0,38,6,1
1,1,1,0,0,0,1,0,0,25,10,0,3,0,1,40,14,4,2,0,0,0,0,0,0,1,41,13,0,5,0,2,59,6,1,0,0,0,0,0,0,0,3,7,5,0,0,0,1,3,3,3,1,0,0,0,0,0,0,4,21,14,0,4,0,0,35,6,3
3,0,0,0,0,0,0,0,1,34,6,0,6,0,2,44,3,2,0,0,0,0,0,1,0,3,48,6,0,1,1,0,59,5,1,0,1,0,0,0,0,0,1,7,1,0,1,0,0,5,0,5,2,6,0,0,0,0,0,3,15,10,0,7,0,1,31,1,0
0,1,1,0,0,0,0,1,1,40,12,0,6,1,2,36,6,2,0,0,0,0,0,0,0,2,43,11,0,5,1,0,54,8,0,0,0,0,0,0,0,0,2,7,2,0,1,0,0,7,2,9,2,0,0,0,0,0,0,1,25,19,0,6,0,2,43,7,4
4,0,2,0,0,0,0,0,4,30,10,0,2,0,1,30,6,1,1,1,0,0,0,1,0,4,38,9,0,2,0,0,44,16,0,1,1,0,0,0,1,0,2,10,3,0,1,0,0,2,2,7,0,0,0,0,0,0,0,3,19,10,0,8,0,0,25,6,2
2,0,1,0,0,0,0,0,2,38,0,0,4,0,0,36,13,4,1,0,0,0,0,0,1,2,40,10,0,1,0,0,38,15,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,7,3,3,0,0,0,0,0,0,0,5,27,8,0,2,0,0,35,4,3
