V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,hom2004
6,3,0,0,0,0,1,0,5,18,42,0,11,0,21,99,85,3,1,0,0,0,0,0,0,1,16,18,0,2,0,1,22,10,9,2,0,0,0,0,1,0,8,29,43,0,4,0,3,38,31,0,0,0,0,0,0,0,0,3,12,11,0,0,0,1,9,14,1,2,0,0,0,0,0,0,3,38,20,0,3,0,1,80,17,0,0,0,0,0,0,0,0,2,12,13,0,4,1,3,34,17,5,0,0,0,0,0,0,0,1,14,10,0,3,0,1,19,16,3
3,2,0,0,0,0,1,0,2,35,38,0,2,0,38,75,69,3,0,0,0,0,0,0,0,2,15,12,0,3,0,2,27,15,4,1,0,0,0,0,0,0,8,30,53,0,7,4,1,29,30,2,2,0,0,0,0,0,0,2,11,15,0,1,0,1,11,11,0,0,0,0,0,0,0,0,2,29,13,0,2,0,0,58,11,1,0,0,0,0,0,0,0,1,10,7,0,3,0,0,31,17,0,0,0,0,0,0,0,0,5,14,15,0,2,0,0,15,16,6
6,3,0,0,0,0,1,0,3,26,35,0,7,2,38,83,83,1,0,0,0,0,0,0,0,3,17,11,0,3,2,3,27,9,8,0,0,0,0,0,0,0,6,26,37,0,12,4,0,20,24,2,0,0,0,0,0,0,0,2,10,14,0,1,0,1,10,10,0,0,0,0,0,0,0,1,2,28,22,0,3,1,0,62,18,2,0,0,0,0,0,2,0,4,10,4,0,1,1,1,38,19,2,1,0,0,0,0,0,0,2,11,14,0,2,2,0,19,13,3
3,1,0,0,0,0,1,0,3,31,31,0,5,1,32,84,82,2,1,0,0,0,0,0,0,1,22,16,0,2,2,4,20,21,5,4,0,0,0,0,0,0,9,42,34,0,9,2,3,17,29,0,0,0,0,0,0,0,0,2,15,19,0,4,0,0,10,9,1,1,0,0,0,0,0,0,1,54,24,0,1,0,0,67,16,1,0,0,0,0,0,0,0,0,8,13,0,3,0,3,34,14,4,2,0,0,0,0,0,0,3,16,16,0,2,2,0,21,16,7
7,1,0,0,0,0,0,1,5,37,26,0,15,5,43,100,82,3,0,0,0,0,0,0,0,4,23,6,0,9,1,1,17,15,11,3,0,0,0,0,0,0,4,26,28,0,9,3,1,30,39,0,0,0,0,0,0,0,0,0,10,14,0,2,0,3,12,9,2,1,0,0,0,0,0,0,4,40,18,0,1,1,1,82,17,1,2,0,0,0,0,0,0,1,9,13,0,1,0,0,28,8,5,1,0,0,0,0,0,1,6,17,14,0,3,1,1,24,16,7
7,6,0,0,0,0,1,1,3,40,30,0,5,0,38,121,82,0,0,0,0,0,0,1,0,1,10,10,0,6,2,1,15,19,9,3,0,0,0,0,0,0,8,17,38,0,7,0,3,28,31,3,0,0,0,0,0,0,0,2,13,13,0,6,6,0,15,7,0,1,0,0,0,0,0,0,1,51,13,0,3,0,2,77,15,2,1,0,0,0,0,0,0,3,7,10,0,7,0,1,38,13,4,2,0,0,0,0,0,0,0,18,10,0,5,0,1,14,12,4
4,0,0,0,0,0,0,0,3,43,12,0,6,1,54,84,80,2,0,0,0,0,0,0,0,1,18,11,0,4,0,4,5,14,9,2,0,0,0,0,1,0,3,13,23,0,6,1,4,24,27,2,0,0,0,0,0,0,0,0,15,4,0,0,2,0,7,6,1,1,0,0,0,0,0,0,2,49,13,0,1,1,3,71,6,2,1,0,0,0,0,2,0,1,10,6,0,1,1,5,25,6,3,1,0,0,0,0,0,0,3,30,6,0,7,0,0,6,14,4
4,3,0,0,0,0,4,0,0,28,10,0,4,0,35,102,56,2,0,0,0,0,0,0,0,1,24,5,0,3,0,2,21,6,13,1,0,0,0,0,2,1,6,32,17,0,10,3,0,29,22,1,1,0,0,0,0,0,0,4,11,0,0,3,1,0,9,8,0,0,1,0,0,0,0,1,0,56,5,0,5,1,0,71,8,4,0,0,0,0,0,1,0,4,12,3,0,0,0,1,39,11,7,0,0,0,0,0,0,0,0,17,7,0,5,1,0,13,12,6
6,2,0,0,0,0,2,0,1,26,13,0,6,5,28,102,117,1,0,0,0,0,0,0,0,2,36,10,0,10,0,1,24,10,9,1,0,0,0,0,0,0,2,24,23,0,14,2,2,33,22,2,1,0,0,0,0,1,0,3,7,4,0,3,0,0,8,7,0,0,0,0,0,0,2,0,3,75,8,0,7,1,0,95,10,2,2,0,0,0,0,1,0,2,13,5,0,2,0,1,40,11,6,1,0,0,0,0,0,0,1,17,10,0,8,0,0,26,11,2
2,0,0,0,0,0,0,0,3,44,21,0,2,1,25,98,60,5,1,0,0,0,0,0,0,3,20,9,0,2,2,1,24,7,11,0,0,0,0,0,1,0,9,29,26,0,7,3,0,25,34,3,3,0,0,0,0,1,0,2,18,5,0,1,1,0,12,9,1,0,0,0,0,0,1,0,1,72,15,0,5,0,2,73,5,4,1,0,0,0,0,1,0,2,12,7,0,2,1,1,35,7,7,1,0,0,0,0,0,0,1,22,11,0,7,0,1,14,10,0
