boundaries.CVEGEO,etiqueta,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22
01001,1,2,3,5,10,11,571,589,627,650,0,0,0,0,0,0,0,0,0,0,0,0,0
01002,2,1,6,9,10,11,600,2429,2457,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01003,3,1,5,8,650,2423,2449,2460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01004,4,7,2413,2430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01005,5,1,3,6,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01006,6,2,5,7,8,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01007,7,4,6,8,9,2413,2417,2430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01008,8,3,5,6,7,2417,2460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01009,9,2,6,7,2429,2430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01010,10,1,2,589,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01011,11,1,2,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02002,12,13,16,1948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02003,13,12,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02004,14,13,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02005,15,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02001,16,12,13,14,15,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03001,17,18,19,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03002,18,16,17,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03003,19,17,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03008,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03009,21,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04001,22,26,27,2310,2332,2347,2365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04002,23,25,27,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04003,24,25,28,30,32,1968,1970,1974,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04004,25,23,24,27,30,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04005,26,22,27,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04006,27,22,23,25,26,29,31,1812,1814,1818,2355,2365,2378,0,0,0,0,0,0,0,0,0,0
04007,28,24,1974,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04008,29,23,26,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04009,30,24,25,31,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04010,31,25,27,30,32,1812,1818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04011,32,24,30,31,1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05001,33,37,40,42,50,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05002,34,46,52,55,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05003,35,51,54,60,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
