ppcluster4
  predictedround actualround
1              8          15
2              9          18
3              7           9
4             29           4
0.3626828 
  predictedround actualround
1              7          15
2             12          18
3             16           9
4             29           4
0.3818233 
  predictedround actualround
1             15          15
2             29          18
3              8           9
4             30           4
0.3186197 
  predictedround actualround
1             11          15
2             21          18
3             13           9
4             29           4
0.2993975 
  predictedround actualround
1             16          15
2             20          18
3             10           9
4             30           4
0.2497274 
  predictedround actualround
1             11          15
2             14          18
3             14           9
4             13           4
0.1914437 
  predictedround actualround
1             19          15
2             19          18
3             10           9
4             19           4
0.1777364 
  predictedround actualround
1             12          15
2             19          18
3             11           9
4             13           4
0.1329812 
  predictedround actualround
1             26          15
2             25          18
3             15           9
4             30           4
0.4148926 
  predictedround actualround
1             10          15
2             23          18
3              8           9
4             12           4
0.1626261 
